ID,Title,Child_age,Milestone_instructions,Mandatory_content,Moderation_state
12001,1 muaj - Njohja e njëri-tjetrit,1st month,"<p>
Vëzhgoni sjelljen e foshnjës tuaj dhe bisedoni me pediatrin tuaj ose infermieren vizituese nëse vëreni se në fund të muajit të parë fëmija juaj:  
</p><ul><li>
po qan shumë dhe ju nuk jeni në gjendje ta ngushëlloni foshnjën tuaj
</li><li>  
thith dobët dhe ushqehet shumë ngadalë
</li><li>  
fle më shumë sesa pritej (më shumë se 16 orë në ditë), ose nuk fle i qetë 
</li><li>  
nuk lëviz aspak krahët ose këmbët e tij/saj  
</li><li>  
nuk reagon kur ndodh një zhurmë e fortë
</li><li>  
nuk mbyll sytë kur sheh drita të ndritshme.
</li></ul>",1,published
12002,2 muaj - Rregullimet e ndërsjella dhe vendosja e rutinave,2nd month,"<p>
Vëzhgoni sjelljen e foshnjës tuaj dhe flisni me pediatrin tuaj ose infermieren vizituese nëse vëreni se në fund të muajit të dytë fëmija juaj: 
</p><ul><li>
shpesh qan shumë, dhe zakonisht nuk jeni në gjendje ta qetësoni fëmijën
</li><li>  
nuk po shikon fytyra as edhe për një kohë të shkurtër
</li><li>    
nuk po i përgjigjet dritës së ndritshme ose tingujve të fortë
</li><li>  
nuk ushqehet apo fle mirë (ose fle më shumë se 16 orë në ditë)
</li><li>   
nuk po lëviz aspak krahët ose këmbët e tij/saj
</li><li> 
nuk po sjell duart e tij/saj tek goja 
</li><li>   
nuk po u buzëqesh njerëzve.
</li></ul>",1,published
12003,3-4 muaj - Eksperiencat e ndryshme,3-4 months,"<p>
Vëzhgoni sjelljen e foshnjës tuaj dhe bisedoni me pediatrin tuaj ose infermieren vizituese nëse vëreni se në fund të muajit të katërt fëmija juaj:  
</p><ul><li>
shpesh qan shumë dhe nuk mund të ngushëllohet
</li><li>  
nuk po bën kontakte me sy apo nuk i kushton vëmendje fytyrave të njerëzve 
</li><li>   
nuk i shikon gjërat ndërsa lëvizin
</li><li>    
nuk po bën asnjë tingull ose nuk po i përgjigjet tingujve
</li><li>    
nuk mund ta mbajë kokën pa lëvizur
</li><li>   
nuk po kërkon një lodër ose objekt që është përpara saj/tij
</li><li>  
nuk sjell gjëra në gojën e saj/tij.
</li></ul>  ",1,published
12004,5-6 muaj - Eksplorimi intensiv,5-6 months,"<p>
Vëzhgoni sjelljen e foshnjës suaj dhe flisni me pediatrin tuaj ose infermieren vizituese nëse vëreni se në fund të muajit të gjashtë fëmija juaj:  
</p><ul><li>
rregullisht qan për një kohë të gjatë dhe nuk mund të ngushëllohet 
</li><li>
nuk po bën kontakte me sy ose nuk po ndjek objektet në lëvizje me sytë e saj/tij  
</li><li>
nuk po dërdëllit ose po kthehet drejt burimit të një tingulli 
</li><li>
nuk është duke qeshur ose duke bërë tinguj britme 
</li><li>
nuk po rrotullohet 
</li><li>
nuk ka kontroll mbi qafën dhe kokën e saj/tij  
</li><li>
nuk mund të ulet as me ndihmën dhe mbështetjen tuaj  
</li><li>
nuk po kërkon aspak objekte edhe kur e inkurajoni atë ta bëjë këtë
</li><li>
nuk përpiqet të marrë gjëra që janë brenda mundësive
</li><li>
ka vështirësi për të sjellë gjerat në gojën e saj/tij. 
</li></ul>
",1,published
12005,7-9 muaj - Zbulimet e reja,7-9 months,"<p>
Vëzhgoni sjelljen e foshnjës tuaj dhe bisedoni me pediatrin tuaj ose infermieren vizituese nëse vëreni se në fund të muajit të nëntë foshnja juaj:  
</p><ul><li>
nuk po bën kontakte me sy ose nuk po ndjek objektet në lëvizje me sytë e saj/tij 
</li><li> 
Nuk po dërdëllit (""mami"", ""babi"", etj.) 
</li><li>
Nuk po e kthen kokën drejt një burimi zanor  
</li><li>
nuk shikon atje ku tregoni me gisht
</li><li>
nuk tregon dashuri për kujdestarët e tij/saj - nuk u buzëqesh atyre
</li><li>
nuk i përgjigjet emrit të saj/tij
</li><li>
nuk duket se njeh njerëz të njohur
</li><li>
nuk po rrotullohet
</li><li>  
kur e merrni ne krahë, është ose shumë i çlirët ose shumë i ngurtë 
</li><li>
nuk mund të ulet as me ndihmën dhe mbështetjen tuaj 
</li><li>
ka vështirësi në të ngrënit e ushqimit të fortë. 
</li></ul>",1,published
12006,10-12 muaj - Vendosja e zakoneve dhe qëndrueshmëria,10-12 months,"<p>
Vëzhgoni sjelljen e fëmijës suaj dhe flisni me pediatrin tuaj nëse vëreni se në fund të vitit të parë të jetës fëmija juaj: 
</p><ul><li>
nuk po bën kontakte me sy ose nuk po ndjek objektet në lëvizje me sytë e saj/tij 
</li><li>
nuk interesohet për tinguj 
</li><li>
nuk i përgjigjet emrit të tij/saj kur e thirrni
</li><li>
nuk po dërdëllit
</li><li>
nuk po përpiqet t'ju njoftojë në asnjë mënyrë se cilat janë dëshirat ose nevojat e tij/saj
</li><li>
nuk po tregon objektet me gisht 
</li><li>
nuk po tregon emocione 
</li><li>
nuk po zvarritet
</li></ul> 
",1,published
12007,13-18 muaj - Hapi i parë dhe fjala e parë,13-18 months,"<p>
Shikoni sjelljen e fëmijës tuaj dhe flisni me pediatrin tuaj nëse vini re se fëmija juaj: 
</p><ul><li>
ka vështirësi të shohë ose të dëgjojë disa gjëra  
</li><li>
nuk thotë asnjë fjalë të vetme  
</li><li>
e ka të vështirë të ndjekë edhe udhëzime të drejtpërdrejta 
</li><li>
nuk përdor gjeste dhe nuk tregon me gisht gjatë komunikimit 
</li><li>
nuk bën kontakt me sy dhe nuk është i afrueshëm 
</li><li>
nuk ecën në mënyrë të pavarur. 
</li></ul>",1,published
12008,19-24 muaj - Pavarësimi,19-24 months,"<p>
Ndiqni sjelljen e fëmijës suaj dhe flisni me pediatrin tuaj nëse vëreni se në fund të vitit të dytë fëmija juaj:
</p><ul><li> 
Nuk ju shikon (kontakt me sy)
</li><li>
ka vështirësi për të parë ose dëgjuar disa gjëra 
</li><li>
nuk thotë asnjë fjalë të vetme  
</li><li>
nuk tregon objektet  me gisht
</li><li>
nuk ndjek udhëzime të thjeshta  
</li><li>
nuk tregon ndjenja  
</li><li>
nuk po ecën në mënyrë të qëndrueshme
</li></ul>
",1,published
12009,25-36 muaj - Imagjinata fillon të lulëzojë,25-36 months,"<p>
Ndiqni sjelljen e fëmijës tuaj dhe flisni me pediatrin tuaj nëse vëreni se në fund të vitit të tretë të jetës fëmija juaj: 
</p><ul><li>
Nuk ju shikon (kontakt me sy)
</li><li>
ka vështirësi të dëgjojë ose të shohë disa gjëra  
</li><li>
nuk flet me fjali të shkurtra (të paktën 3 fjalë së bashku)
</li><li>
ka të folur shumë të paqartë
</li><li>
nuk ndjek udhëzime të thjeshta 
</li><li>
nuk dëshiron të luajë me fëmijë të tjerë ose me lodra dhe sende të tjera 
</li><li>
nuk shtiret gjatë lojës  
</li><li>
nuk mund të vrapojë
</li><li>
nuk shkarravit apo vizaton  
</li><li>
nuk mund të mbajë sende të vogla në dorën e saj/tij.  
</li></ul>",1,published
12010,37-48 muaj - Parashtrimi i pyetjeve,37-48 months ,"<p>
Ndiqni sjelljen e fëmijës tuaj dhe flisni me pediatrin tuaj nëse vëreni se në fund të vitit të katërt të jetës fëmija juaj:   
</p><ul><li>                                                                                                                                                                                Nuk tregon interes për të luajtur lojëra me të tjerët ose për të luajtur lojëra të shtirjes
</li><li>
Injoron fëmijët e tjerë ose nuk u përgjigjet njerëzve jashtë familjes
</li><li>
Nuk mund të kërcej në vend
</li><li>
Ka vështirësi në shkarravitje (bërjen e shenjave në letër)
</li><li>
Nuk ndjek një udhëzim që ka tre pjesë
</li><li>
Nuk mund të tregojë një tregim të preferuar
</li></ul>",1,published
12011,49 deri në 60 muaj - Gëzimi i të shoqëruarit,49-60 months,"<p>
Ndiqni sjelljen e fëmijës suaj dhe flisni me pediatrin tuaj nëse vëreni se në fund të vitit të pestë të jetës fëmija juaj: 
</p><ul><li>                                                                                                                                                                      Nuk mund të ecë, të vrapojë, të ngjitet, të kërcejë ose të përdorë shkallët me besim
</li><li>
Nuk mund t'i përgjigjet pyetjeve të thjeshta (Si e keni emrin? Kush është familja juaj? Cili është tregimi juaj i preferuar?) 
</li><li>
Nuk mund të ndjekë një drejtim me dy pjesë (Të vendosë një filxhan në tryezë! Ose të marrë topin poshtë shtratit!) 
</li><li>
Nuk mund të kryejë rutinat e përditshme të tilla si ngrënia ose veshja
</li><li>
Duket se e ka të vështirë të mbajë një laps 
</li><li>
Tregon sjellje ekstreme (të tilla si jashtëzakonisht të frikshme, ose agresive, ose të trishtuara)
</li><li>
Nuk flet për aktivitetet e përditshme 
</li><li>
Nuk tregon interes për të bashkëvepruar me të rriturit ose fëmijët                                                                                                                                                                                                                                               
</li></ul>",1,published
12012,61 deri 72 muaj - Gatishmëria për mjedise të reja,61-72 months ,"<p>
Ndiqni sjelljen e fëmijës tuaj dhe flisni me pediatrin tuaj nëse vëreni se në fund të vitit të gjashtë të jetës fëmija juaj:       
</p><ul><li>                                                                                                                                                                             Ka një hapësirë vëmendje shumë të shkurtër
</li><li>
Nuk interesohet aspak për shkronjat, numrat, leximin ose shkrimin
</li><li>
Duket se nuk dëgjon mirë
</li><li>
Nuk flet qartë me fjali me 5 ose më shumë fjalë
</li><li>
Nuk tregon histori më të gjata duke përdorur fjali të plota
</li><li>
Nuk vishet dhe nuk përdor tualetin pa ndihmë
</li><li>
Nuk mund të marr pjesë në biseda
</li><li>
Nuk mund të luajë në më shumë se një mënyrë
</li><li>
Nuk mund të tregojë emrin e tij/saj dhe adresën
</li><li>
Nuk mund të qëndroj ose të kërcej në një këmbë
</li></ul>",1,published
